|degree_id|name                           |period    |year|
|60       |nihil ipsa et                     |I semestre|1   |
|60       |ipsam sit ut                      |I semestre|1   |
|60       |consequatur et eum                |I semestre|1   |
|61       |voluptas consequatur sit          |I semestre|1   |
|61       |enim quae quos                    |I semestre|1   |
|61       |distinctio rerum dolor            |I semestre|1   |
|61       |perspiciatis fuga praesentium     |I semestre|1   |
|62       |libero eius cum                   |I semestre|1   |
|62       |magni vitae exercitationem        |I semestre|1   |
|62       |excepturi vero ad                 |I semestre|1   |
|63       |ducimus voluptatibus asperiores   |I semestre|1   |
|63       |consequatur ut architecto         |I semestre|1   |
|63       |porro suscipit incidunt           |I semestre|1   |
|64       |soluta alias fugiat               |I semestre|1   |
|64       |doloremque aut nihil              |I semestre|1   |
|64       |consectetur eos voluptatum        |I semestre|1   |
|65       |rerum dolor quia                  |I semestre|1   |
|65       |reprehenderit occaecati eum       |I semestre|1   |
|65       |facere explicabo quam             |I semestre|1   |
|66       |quidem deleniti omnis             |I semestre|1   |
|66       |ex quaerat commodi                |I semestre|1   |
|66       |tempore voluptates eaque          |I semestre|1   |
|67       |alias voluptates dignissimos      |I semestre|1   |
|67       |quos pariatur aliquid             |I semestre|1   |
|67       |culpa nulla aut                   |I semestre|1   |
|67       |aliquam molestias sit             |I semestre|1   |
|68       |alias explicabo amet              |I semestre|1   |
|68       |at exercitationem libero          |I semestre|1   |
|68       |molestias animi vel               |I semestre|1   |
|69       |facilis magnam rem                |I semestre|1   |
|69       |quae inventore voluptatem         |I semestre|1   |
|69       |voluptas dicta qui                |I semestre|1   |
|70       |et provident culpa                |I semestre|1   |
|70       |quas cum vel                      |I semestre|1   |
|70       |nostrum atque ipsa                |I semestre|1   |
|70       |minus consequatur culpa           |I semestre|1   |
|71       |dolor error porro                 |I semestre|1   |
|71       |earum repellat et                 |I semestre|1   |
|71       |molestiae aut sit                 |I semestre|1   |
|71       |incidunt aperiam qui              |I semestre|1   |
|72       |eos quisquam dolores              |I semestre|1   |
|72       |magni magni omnis                 |I semestre|1   |
|72       |rerum molestiae provident         |I semestre|1   |
|72       |voluptas sit aliquam              |I semestre|1   |
|73       |porro cupiditate qui              |I semestre|1   |
|73       |adipisci ut quis                  |I semestre|1   |
|73       |quidem vero eaque                 |I semestre|1   |
|73       |impedit vitae laboriosam          |I semestre|1   |
|74       |reprehenderit rerum eaque         |I semestre|1   |
|74       |quia totam sunt                   |I semestre|1   |
|74       |quia non rerum                    |I semestre|1   |
|74       |reiciendis dolorum labore         |I semestre|1   |
|75       |quaerat in qui                    |I semestre|1   |
|75       |minus expedita et                 |I semestre|1   |
|75       |consectetur aut est               |I semestre|1   |
|75       |distinctio rem quis               |I semestre|1   |
|75       |unde commodi qui                  |I semestre|1   |
