|average_vote|exam_id|
|21,2308     |416    |
|17,25       |417    |
|20          |418    |
|18,4545     |421    |
|18,7143     |422    |
|18          |423    |
|15,5625     |426    |
|17,5455     |427    |
|8           |428    |
|14          |429    |
|18,6061     |431    |
|7,2         |432    |
|22          |433    |
|18,3        |436    |
|11,8571     |437    |
|21          |438    |
|13          |439    |
|21,4643     |441    |
|14,3333     |442    |
|32          |443    |
|20,9032     |446    |
|20,8333     |447    |
|25          |448    |
|16,5926     |451    |
|17          |452    |
|19          |453    |
|20,5758     |456    |
|17,3333     |457    |
|17,7714     |461    |
|14,3636     |462    |
|15,1667     |463    |
|18,3333     |464    |
|20,625      |466    |
|30          |467    |
|19,7368     |471    |
|18,5        |472    |
|23          |473    |
|18,9333     |476    |
|15,4        |477    |
|25,6667     |478    |
|19,6667     |481    |
|21,25       |482    |
|22,0526     |486    |
|20,5        |487    |
|16          |488    |
|22          |489    |
|18,2759     |491    |
|13          |492    |
|31          |493    |
|19,7879     |496    |
|16,8        |497    |
|7           |498    |
|15          |499    |
|31          |500    |
|17          |501    |
|19,8182     |502    |
|24          |503    |
|20          |504    |
|17,3939     |506    |
|15,2857     |507    |
|15,9722     |511    |
|14,3636     |512    |
|16,25       |513    |
|8           |514    |
|33          |515    |
|16,8889     |516    |
|15,4        |517    |
|18,6        |521    |
|14,8        |522    |
|20          |523    |
|15,3529     |526    |
|22          |527    |
|30          |528    |
|17,875      |531    |
|24,25       |532    |
|17,4118     |536    |
|16,8333     |537    |
|17,4583     |541    |
|12,375      |542    |
|16,4        |543    |
|25          |544    |
|17,9167     |546    |
|15,6667     |547    |
|25,5        |548    |
|18,0606     |551    |
|18,6667     |552    |
|28          |553    |
|17,0263     |556    |
|21,6364     |557    |
|26,5        |558    |
|20,4412     |561    |
|11,6667     |562    |
|17          |563    |
|8           |564    |
|18,4103     |566    |
|15,5        |567    |
|14,6667     |568    |
|27          |569    |
|17,125      |571    |
|17,25       |572    |
|11,3333     |573    |
|7           |574    |
|17,3636     |576    |
|23,2        |577    |
|10          |578    |
|32          |579    |
|16,7727     |581    |
|18,7143     |582    |
|17,28       |586    |
|13,4286     |587    |
|24,6667     |588    |
|15,56       |591    |
|12,2        |592    |
|18          |593    |
|9           |594    |
|17,6111     |596    |
|19,3333     |597    |
|6,5         |598    |
|7           |599    |
|4           |600    |
|16,875      |601    |
|19,2222     |602    |
|18,8        |603    |
|16,1667     |606    |
|13,7778     |607    |
|16          |608    |
|15,913      |611    |
|15,6        |612    |
|21,3333     |613    |
|19,2121     |616    |
|22,5        |617    |
|5           |618    |
|25          |619    |
|16,2647     |621    |
|17,3333     |622    |
|15,5        |623    |
|6           |624    |
|19,5122     |626    |
|17,5        |627    |
|14,5        |628    |
|27          |629    |
|19,9524     |631    |
|11,125      |632    |
|20,6        |633    |
|19,5        |634    |
|18          |635    |
|17,6667     |636    |
|18,625      |637    |
|20,5        |638    |
|16,3158     |641    |
|16,9        |642    |
|27,25       |643    |
|15,7778     |646    |
|15,4545     |647    |
|16          |648    |
|20          |649    |
|14,1111     |651    |
|15,3333     |652    |
|5           |653    |
|7           |654    |
|18,3636     |656    |
|16,3333     |657    |
|19,9474     |661    |
|15,5        |662    |
|15,9545     |666    |
|21,875      |667    |
|20          |668    |
|17,3462     |671    |
|20,5        |672    |
|20,88       |676    |
|21,5714     |677    |
|16,5714     |681    |
|19,5        |682    |
|22          |683    |
|14,5217     |686    |
|20,3333     |687    |
|17,5        |688    |
|3           |689    |
|26          |690    |
|15,8158     |691    |
|10,9        |692    |
|16,75       |693    |
|8           |694    |
|19          |696    |
|20,2222     |697    |
|26          |698    |
|18,825      |701    |
|16          |702    |
|17          |703    |
|13          |704    |
|16          |705    |
|18,5116     |706    |
|24,5556     |707    |
|20,641      |711    |
|14,6667     |712    |
|28          |713    |
|18,6563     |716    |
|22,4        |717    |
|3           |718    |
|27          |719    |
|17,2439     |721    |
|20,0833     |722    |
|27          |723    |
|16,3478     |726    |
|15,75       |727    |
|21,5        |728    |
|16,8261     |731    |
|27,6667     |732    |
|16,0909     |736    |
|20,7143     |737    |
|16,7857     |741    |
|16          |742    |
|31          |743    |
|17,037      |746    |
|20,3333     |747    |
|11          |748    |
|21          |749    |
|19,75       |751    |
|21,6        |752    |
|8           |753    |
|17,8387     |756    |
|16,1667     |757    |
|27,5        |758    |
|15,6774     |761    |
|20,2857     |762    |
|21          |763    |
|17,5278     |766    |
|16,2        |767    |
|25,5        |768    |
|15,2        |771    |
|15,2857     |772    |
|8,6667      |773    |
|19,5        |774    |
|17,8889     |776    |
|19,2857     |777    |
|16          |778    |
|18,4063     |781    |
|21,25       |782    |
|25,6667     |783    |
|5           |784    |
|31          |785    |
|16,0606     |786    |
|21          |787    |
|12,5        |788    |
|9           |789    |
|20,1111     |791    |
|12,6667     |792    |
|13          |793    |
|11          |794    |
|23          |795    |
|17,6053     |796    |
|23          |797    |
|15,5        |798    |
|19,1579     |801    |
|17,8        |802    |
|21          |803    |
|17,48       |806    |
|16          |807    |
|7           |808    |
|17          |811    |
|17,4        |812    |
|6           |813    |
|26          |814    |
|17,087      |816    |
|13,5        |817    |
|18,5        |818    |
|19          |821    |
|20,4        |822    |
|8,5         |823    |
|18,35       |826    |
|8,6667      |827    |
|24          |828    |
|4           |829    |
|29          |830    |
|12,2143     |831    |
|13,5        |832    |
|16          |833    |
|19,6667     |836    |
|26,8        |837    |
|20          |841    |
|27          |842    |
|20,0882     |846    |
|20          |847    |
|20,1282     |851    |
|13,8        |852    |
|27          |853    |
|20,9143     |856    |
|20,3333     |857    |
|9           |858    |
|16,9722     |861    |
|21,9        |862    |
|24          |863    |
|21,2424     |866    |
|16,1429     |867    |
|27,25       |868    |
|17,1818     |871    |
|19          |872    |
|11,75       |873    |
|6           |874    |
|30          |875    |
|18,1765     |876    |
|13,5        |877    |
|28          |878    |
|17,0833     |881    |
|16,25       |882    |
|15,6667     |886    |
|17          |887    |
|25          |888    |
|19,9        |891    |
|17          |892    |
|16,5        |893    |
|15,24       |896    |
|15,3        |897    |
|13,2        |898    |
|7           |899    |
|21,8        |901    |
|17,3333     |902    |
|18,6429     |906    |
|8           |907    |
|22          |908    |
|15,5333     |911    |
|21          |912    |
|4           |913    |
|18,8462     |916    |
|27          |917    |
|20,125      |921    |
|22,5        |922    |
|16,0714     |926    |
|16,4        |927    |
|4           |928    |
|19,5238     |931    |
|17          |932    |
|19          |933    |
|17,36       |936    |
|16,8571     |937    |
|19,0357     |941    |
|17,5        |942    |
|17          |943    |
|13          |944    |
|27          |945    |
|19,0714     |946    |
|16,8889     |947    |
|16,3333     |948    |
|26          |949    |
|21,6        |951    |
|16,5        |952    |
|33          |953    |
|19          |956    |
|17,6        |957    |
|20          |958    |
|17,6333     |961    |
|22,8        |962    |
|22          |963    |
|19,303      |966    |
|15,375      |967    |
|27          |968    |
|18,1875     |971    |
|17          |972    |
|11          |973    |
|11          |974    |
|15          |975    |
|20,4        |976    |
|19,3333     |977    |
|16,7619     |981    |
|18,75       |982    |
|33          |983    |
|18,8824     |986    |
|19,3333     |987    |
|21          |988    |
|12,5625     |991    |
|14,3333     |992    |
|19          |993    |
|14,4286     |996    |
|13,7778     |997    |
|18          |998    |
|15          |999    |
|10          |1.000  |
|15,6471     |1.001  |
|23,75       |1.002  |
|15,7692     |1.006  |
|12          |1.007  |
|11,5        |1.008  |
|12          |1.009  |
|9           |1.010  |
|23,4167     |1.011  |
|18,5        |1.012  |
|15,5        |1.016  |
|13,3333     |1.017  |
|23          |1.018  |
|17,5        |1.021  |
|18          |1.022  |
|9           |1.023  |
|16,1429     |1.026  |
|23,5        |1.027  |
|15,1        |1.031  |
|16          |1.032  |
|31          |1.033  |
|16,2222     |1.036  |
|18,3333     |1.037  |
|17,3333     |1.041  |
|16,5        |1.042  |
|32          |1.043  |
|17,4167     |1.046  |
|15,1538     |1.047  |
|20,5        |1.048  |
|12,5        |1.049  |
|17,6774     |1.051  |
|16,8889     |1.052  |
|29          |1.053  |
|17,8065     |1.056  |
|18,875      |1.057  |
|3           |1.058  |
|21          |1.059  |
|17,56       |1.061  |
|17,5        |1.062  |
|33          |1.063  |
|21,9091     |1.066  |
|13,5        |1.067  |
|19,6667     |1.071  |
|26,6667     |1.072  |
|15,4545     |1.076  |
|15,75       |1.077  |
|21          |1.078  |
|22,8947     |1.081  |
|17          |1.082  |
|18,5789     |1.086  |
|21,4        |1.087  |
|17,6522     |1.091  |
|16,8        |1.092  |
|22          |1.093  |
|17,6364     |1.096  |
|25,1667     |1.097  |
|19,9565     |1.101  |
|15,8333     |1.102  |
|20,5        |1.103  |
|17          |1.106  |
|20,9        |1.107  |
|13          |1.108  |
|25          |1.109  |
|18,1111     |1.111  |
|16,125      |1.112  |
|12          |1.113  |
|11          |1.114  |
|18,36       |1.116  |
|20,7143     |1.117  |
|13          |1.118  |
|11          |1.119  |
|15          |1.120  |
|20,8235     |1.121  |
|11,6667     |1.122  |
|19,5333     |1.126  |
|14,4        |1.127  |
|14,5        |1.128  |
|28          |1.129  |
|17,25       |1.131  |
|15          |1.132  |
|5           |1.133  |
|20,6111     |1.136  |
|20,8        |1.137  |
|12,6        |1.141  |
|22,5556     |1.142  |
|10,6667     |1.143  |
|16          |1.144  |
|18,8235     |1.146  |
|20          |1.147  |
|9           |1.148  |
|14,05       |1.151  |
|18,5        |1.152  |
|10          |1.153  |
|31          |1.154  |
|20,4444     |1.156  |
|20,5        |1.157  |
|17,5556     |1.161  |
|20,6667     |1.162  |
|26          |1.163  |
|17,8421     |1.166  |
|23,6667     |1.167  |
|19,8333     |1.171  |
|16,25       |1.172  |
|22          |1.173  |
|17          |1.176  |
|17,5        |1.177  |
|13          |1.178  |
|9           |1.179  |
|18,4583     |1.181  |
|20,25       |1.182  |
|14,8462     |1.186  |
|13,5        |1.187  |
|11          |1.188  |
|18,1429     |1.191  |
|18,6667     |1.192  |
|18          |1.193  |
|17,1333     |1.196  |
|22,75       |1.197  |
|28          |1.198  |
|16,5833     |1.201  |
|16          |1.202  |
|14,1818     |1.206  |
|18,25       |1.207  |
|21,6471     |1.211  |
|21,75       |1.212  |
|23,6154     |1.216  |
|20          |1.217  |
|15,6522     |1.221  |
|9,8889      |1.222  |
|23,75       |1.223  |
|16,8        |1.226  |
|14,2857     |1.227  |
|20,6667     |1.228  |
|14,2941     |1.231  |
|17,3333     |1.232  |
|25,6667     |1.233  |
|21,2778     |1.236  |
|19,5        |1.237  |
|23,5        |1.241  |
|16,4286     |1.246  |
|13,6667     |1.247  |
|23,5        |1.248  |
|17,9        |1.251  |
|15,4        |1.252  |
|18          |1.253  |
|16,5        |1.256  |
|28          |1.257  |
|18,5455     |1.261  |
|11,3333     |1.262  |
|15          |1.263  |
|31          |1.264  |
|16          |1.266  |
|14          |1.267  |
|8           |1.268  |
|13,8571     |1.271  |
|13          |1.272  |
|19          |1.273  |
|21,4286     |1.276  |
|19,3333     |1.277  |
|17,5472     |1.281  |
|20,3571     |1.282  |
|25          |1.283  |
|19,5417     |1.286  |
|14,1        |1.287  |
|20,4        |1.288  |
|20          |1.289  |
|18,8039     |1.291  |
|15,6        |1.292  |
|19          |1.293  |
|16,25       |1.296  |
|17,4118     |1.297  |
|15,1667     |1.298  |
|9,6667      |1.299  |
|29          |1.300  |
|15,2653     |1.301  |
|19,3529     |1.302  |
|19,6        |1.303  |
|14          |1.304  |
|18          |1.306  |
|20,3        |1.307  |
|18,3095     |1.311  |
|13,7        |1.312  |
|14          |1.313  |
|13          |1.314  |
|21          |1.315  |
|16,5385     |1.316  |
|22,2222     |1.317  |
|14          |1.318  |
|17,8621     |1.321  |
|13,6        |1.322  |
|15          |1.323  |
|17,871      |1.326  |
|17          |1.327  |
|17,5652     |1.331  |
|17,2857     |1.332  |
|15,6667     |1.333  |
|8           |1.334  |
|16,5667     |1.336  |
|18          |1.337  |
|19          |1.338  |
|15,8621     |1.341  |
|20          |1.342  |
|16,8621     |1.346  |
|18,1429     |1.347  |
|14,3333     |1.348  |
|15          |1.349  |
|15,4667     |1.351  |
|19,6667     |1.352  |
|5           |1.353  |
|8           |1.354  |
|17,8333     |1.356  |
|21,5        |1.357  |
|16          |1.358  |
|20,2857     |1.361  |
|18          |1.362  |
|18          |1.363  |
|20,9333     |1.366  |
|21          |1.367  |
|18,6667     |1.371  |
|11,3333     |1.372  |
|10          |1.373  |
|17,9286     |1.376  |
|16,5        |1.377  |
|21          |1.378  |
|16          |1.379  |
|6           |1.380  |
|18,8125     |1.381  |
|15,5        |1.382  |
|14          |1.383  |
|30          |1.384  |
|15,9394     |1.386  |
|25,1667     |1.387  |
|16,6757     |1.391  |
|20,0909     |1.392  |
|17,5        |1.393  |
|11          |1.394  |
|16,4375     |1.396  |
|17,6        |1.397  |
|23,6667     |1.398  |
|16,9        |1.401  |
|20,75       |1.402  |
|25,3333     |1.403  |
|18,0303     |1.406  |
|22,875      |1.407  |
|28          |1.408  |
|17,1111     |1.411  |
|18,5714     |1.412  |
|11          |1.413  |
|18,4706     |1.416  |
|14          |1.417  |
|9           |1.418  |
|18          |1.419  |
|18,5714     |1.421  |
|14,8        |1.422  |
|28,5        |1.423  |
|18,875      |1.426  |
|16,8571     |1.427  |
|18          |1.428  |
|19,6316     |1.431  |
|22,6        |1.432  |
|16,5        |1.433  |
|13          |1.434  |
|33          |1.435  |
|21,2609     |1.436  |
|19          |1.437  |
|15,4211     |1.441  |
|19,5        |1.442  |
|29          |1.443  |
|17,4762     |1.446  |
|20,6667     |1.447  |
|14,7273     |1.451  |
|15,3333     |1.452  |
|24          |1.453  |
|18,125      |1.456  |
|15,8333     |1.457  |
|12          |1.458  |
|29          |1.459  |
|16,68       |1.461  |
|13,375      |1.462  |
|18,3333     |1.463  |
|17,3571     |1.466  |
|20          |1.467  |
|31          |1.468  |
|22,5        |1.471  |
|16,6667     |1.472  |
|17,2222     |1.476  |
|30          |1.477  |
|17,5833     |1.481  |
|22          |1.482  |
|18          |1.483  |
|11,3        |1.486  |
|14,2        |1.487  |
|31          |1.488  |
|16,4857     |1.491  |
|23          |1.492  |
|8           |1.493  |
|21          |1.494  |
|16,9737     |1.496  |
|17,5833     |1.497  |
|26          |1.498  |
|17,75       |1.501  |
|16,5556     |1.502  |
|18,6667     |1.503  |
|20          |1.504  |
|16,125      |1.506  |
|16          |1.507  |
|21,2222     |1.511  |
|25          |1.512  |
|16,7027     |1.516  |
|19,2        |1.517  |
|21,4857     |1.521  |
|20,6667     |1.522  |
|27          |1.523  |
|17,8378     |1.526  |
|21,7143     |1.527  |
|17,6333     |1.531  |
|17,375      |1.532  |
|20,3333     |1.533  |
|20,6364     |1.536  |
|23,5        |1.537  |
|3           |1.538  |
|27          |1.539  |
|20,0345     |1.541  |
|12,8        |1.542  |
|27,5        |1.543  |
|16,6296     |1.546  |
|15,4286     |1.547  |
|18,5        |1.548  |
|29          |1.549  |
|18,4643     |1.551  |
|17,5        |1.552  |
|26          |1.553  |
|18,6667     |1.556  |
|9           |1.557  |
|27          |1.558  |
|16,3571     |1.561  |
|21,125      |1.562  |
|18          |1.563  |
|16,3478     |1.566  |
|21,2        |1.567  |
|19          |1.571  |
|14,5        |1.572  |
|23          |1.573  |
|19,6471     |1.576  |
|19,4286     |1.577  |
|27          |1.578  |
|18,3023     |1.581  |
|17,25       |1.582  |
|12,5        |1.583  |
|20,3429     |1.586  |
|19,3333     |1.587  |
|21          |1.588  |
|24          |1.589  |
|18,8        |1.591  |
|21          |1.592  |
|19,6486     |1.596  |
|19,4545     |1.597  |
|29          |1.598  |
|16,4242     |1.601  |
|13,9286     |1.602  |
|26,1667     |1.603  |
|18,7949     |1.606  |
|16          |1.607  |
|20,6667     |1.608  |
|13          |1.609  |
|17,5641     |1.611  |
|20,5        |1.612  |
|27,5        |1.613  |
|17,4375     |1.616  |
|18,2222     |1.617  |
|23,0357     |1.621  |
|31          |1.622  |
|19,5625     |1.626  |
|16,6        |1.627  |
|20          |1.628  |
|17,7813     |1.631  |
|14,5        |1.632  |
|8           |1.633  |
|4           |1.634  |
|17,7429     |1.636  |
|15,2857     |1.637  |
|21,75       |1.638  |
|31          |1.639  |
|15,8182     |1.641  |
|18,5385     |1.642  |
|9,75        |1.643  |
|10,5        |1.644  |
|17          |1.645  |
|19,4815     |1.646  |
|15          |1.647  |
|12,5        |1.648  |
|28          |1.649  |
|17,8276     |1.651  |
|16          |1.652  |
|20          |1.653  |
|17,0435     |1.656  |
|19,1667     |1.657  |
|16          |1.658  |
|19,6667     |1.661  |
|15          |1.662  |
|14,8824     |1.666  |
|12          |1.667  |
|17          |1.668  |
|30          |1.669  |
|20,0769     |1.671  |
|10,6667     |1.672  |
|24          |1.673  |
|23,8889     |1.676  |
|14,4706     |1.681  |
|18,8571     |1.682  |
|20          |1.683  |
|13          |1.684  |
|3           |1.685  |
|18,6111     |1.686  |
|20,75       |1.687  |
|25          |1.688  |
|18,125      |1.691  |
|17          |1.692  |
|9           |1.693  |
|20,5        |1.694  |
|19,9167     |1.696  |
|18,875      |1.697  |
|8           |1.698  |
|21,5        |1.699  |
|17          |1.701  |
|20,3333     |1.702  |
|8           |1.703  |
|20          |1.704  |
|16,3784     |1.706  |
|23          |1.707  |
|17,7097     |1.711  |
|15,75       |1.712  |
|15,5        |1.713  |
|31          |1.714  |
|15,9048     |1.716  |
|20          |1.717  |
|25          |1.718  |
|17,2308     |1.721  |
|24,3333     |1.722  |
|17,8276     |1.726  |
|16,8333     |1.727  |
|19,2593     |1.731  |
|18,375      |1.732  |
|19,84       |1.736  |
|6,8         |1.737  |
|28          |1.738  |
|19,2273     |1.741  |
|13,6        |1.742  |
|27          |1.743  |
|18,16       |1.746  |
|18,6667     |1.747  |
|16          |1.748  |
|18          |1.751  |
|19,875      |1.752  |
|12,6667     |1.753  |
|6           |1.754  |
|23          |1.755  |
|21          |1.756  |
|13          |1.757  |
|18          |1.758  |
|13,25       |1.761  |
|16          |1.762  |
|33          |1.763  |
|14,8889     |1.766  |
|16          |1.767  |
|14          |1.768  |
|25          |1.769  |
|19,0769     |1.771  |
|17          |1.772  |
|20,125      |1.776  |
|15,6667     |1.777  |
|20          |1.778  |
|17,4444     |1.781  |
|12          |1.782  |
|17,8333     |1.786  |
|24          |1.787  |
|15,5926     |1.791  |
|26          |1.792  |
|10          |1.793  |
|7           |1.794  |
|14,8065     |1.796  |
|16,8889     |1.797  |
|13          |1.798  |
|19,5588     |1.801  |
|14,1        |1.802  |
|11,5        |1.803  |
|20,5        |1.804  |
|18          |1.806  |
|14,2727     |1.807  |
|15          |1.808  |
|25,5        |1.809  |
|16,5135     |1.811  |
|18          |1.812  |
|18,05       |1.816  |
|20,6667     |1.817  |
|4           |1.818  |
|10          |1.819  |
|16,4667     |1.821  |
|16,1429     |1.822  |
|17,6667     |1.823  |
|15,8824     |1.826  |
|12,4167     |1.827  |
|20,4        |1.828  |
|17,9        |1.831  |
|19,5        |1.832  |
|8           |1.833  |
|18,4        |1.836  |
|16,5714     |1.837  |
|18          |1.838  |
|17,75       |1.841  |
|10,5        |1.842  |
|6           |1.843  |
|17          |1.844  |
|16,5185     |1.846  |
|15,5        |1.847  |
|22          |1.848  |
|21          |1.849  |
|19,1905     |1.851  |
|19          |1.852  |
|31          |1.853  |
|15,8        |1.856  |
|18,25       |1.857  |
|23          |1.858  |
|20,3077     |1.861  |
|17,3333     |1.862  |
|20,3636     |1.866  |
|20,5        |1.867  |
|30          |1.868  |
|16,0909     |1.871  |
|13          |1.872  |
|7           |1.873  |
|19,0714     |1.876  |
|24,25       |1.877  |
|16,6667     |1.881  |
|8           |1.882  |
|24          |1.883  |
|18          |1.886  |
|8,2         |1.887  |
|14,5        |1.888  |
|14,9756     |1.891  |
|22          |1.892  |
|16          |1.893  |
|31          |1.894  |
|19,6129     |1.896  |
|13,75       |1.897  |
|17          |1.898  |
|23          |1.899  |
|19,5714     |1.901  |
|12,7143     |1.902  |
|13          |1.903  |
|15,6765     |1.906  |
|19          |1.907  |
|3           |1.908  |
|18,2        |1.911  |
|13,6        |1.912  |
|22          |1.913  |
|20,5313     |1.916  |
|19,1429     |1.917  |
|5           |1.918  |
|17,9        |1.921  |
|14,7143     |1.922  |
|18,8        |1.923  |
|18,125      |1.926  |
|17,25       |1.927  |
|17,5        |1.928  |
|18,913      |1.931  |
|17,25       |1.932  |
|21,2105     |1.936  |
|18,5        |1.937  |
|11          |1.938  |
|15          |1.939  |
|25          |1.940  |
|18,08       |1.941  |
|20          |1.942  |
|18,7308     |1.946  |
|18          |1.947  |
|16          |1.948  |
|20,7368     |1.951  |
|17,8        |1.952  |
|12          |1.953  |
|9           |1.954  |
|30          |1.955  |
|19,3333     |1.956  |
|12          |1.957  |
|21          |1.961  |
|23          |1.962  |
|14,3333     |1.966  |
|15          |1.967  |
|16,5        |1.968  |
|28          |1.969  |
|18,4167     |1.971  |
|11,5        |1.972  |
|25          |1.973  |
|18,1538     |1.976  |
|11,3333     |1.977  |
|23          |1.978  |
|16,2143     |1.981  |
|17,1429     |1.982  |
|10,75       |1.983  |
|15,6667     |1.984  |
|15          |1.985  |
|11,6667     |1.986  |
|17          |1.987  |
|17,6667     |1.988  |
|19,5        |1.989  |
|32          |1.990  |
|19,4545     |1.991  |
|22,25       |1.992  |
|18          |1.996  |
|12,25       |1.997  |
|28          |1.998  |
|17,1739     |2.001  |
|20          |2.002  |
|28          |2.003  |
|21,52       |2.006  |
|11,6        |2.007  |
|15,6667     |2.008  |
|16,6552     |2.011  |
|15,5        |2.012  |
|15,5        |2.013  |
|15,3333     |2.016  |
|14,8        |2.017  |
|8           |2.018  |
|19          |2.019  |
|16,6897     |2.021  |
|18,25       |2.022  |
|21          |2.023  |
|21,1852     |2.026  |
|22,75       |2.027  |
|17,0526     |2.031  |
|19,7143     |2.032  |
|27          |2.033  |
|18,2353     |2.036  |
|21,3333     |2.037  |
|17,6667     |2.041  |
|22,75       |2.042  |
|18,3846     |2.046  |
|14,25       |2.047  |
|33          |2.048  |
|19,6        |2.051  |
|15,3333     |2.052  |
|18,75       |2.053  |
|24,5        |2.054  |
|15,0588     |2.056  |
|17,3636     |2.057  |
|7           |2.058  |
|18,4286     |2.061  |
|13,5        |2.062  |
|17          |2.063  |
|18          |2.064  |
|19,7407     |2.066  |
|18,75       |2.067  |
|15,5        |2.068  |
|21          |2.069  |
|16,9412     |2.071  |
|20          |2.072  |
|26          |2.073  |
|15,9512     |2.076  |
|18,2308     |2.077  |
|16,6        |2.078  |
|8           |2.079  |
|33          |2.080  |
|17,7391     |2.081  |
|19          |2.082  |
|17          |2.083  |
|14,5185     |2.086  |
|17,8        |2.087  |
|11          |2.088  |
|15,9333     |2.091  |
|17,75       |2.092  |
|17,7778     |2.096  |
